ticket_id,created_at,agent_id,priority,resolution_hours,channel
1,2024-03-01 00:00:00,256.0,High,4.2,Email
2,2024-03-01 00:30:00,237.0,Low,13.49,Chat
3,2024-03-01 01:00:00,241.0,High,6.97,Email
4,2024-03-01 01:30:00,253.0,Medium,4.9,Chat
5,2024-03-01 02:00:00,234.0,Medium,5.6,Email
6,2024-03-01 02:30:00,246.0,High,24.18,Phone
7,2024-03-01 03:00:00,250.0,Medium,8.44,Phone
8,2024-03-01 03:30:00,213.0,High,11.63,Email
9,2024-03-01 04:00:00,203.0,Medium,2.46,Chat
10,2024-03-01 04:30:00,218.0,High,2.85,Email
11,2024-03-01 05:00:00,217.0,Medium,1.56,Email
12,2024-03-01 05:30:00,252.0,High,10.46,Email
13,2024-03-01 06:00:00,254.0,Medium,5.62,Chat
14,2024-03-01 06:30:00,200.0,High,0.95,Phone
15,2024-03-01 07:00:00,229.0,Medium,38.68,Email
16,2024-03-01 07:30:00,249.0,High,10.13,Phone
17,2024-03-01 08:00:00,207.0,High,4.94,Phone
18,2024-03-01 08:30:00,247.0,Medium,19.44,Chat
19,2024-03-01 09:00:00,207.0,Low,13.16,Phone
20,2024-03-01 09:30:00,228.0,Low,12.65,Chat
21,2024-03-01 10:00:00,248.0,High,26.04,Phone
22,2024-03-01 10:30:00,218.0,Low,8.23,Unknown
23,2024-03-01 11:00:00,220.0,Medium,16.63,Phone
24,2024-03-01 11:30:00,216.0,High,4.45,Chat
25,2024-03-01 12:00:00,243.0,Medium,3.51,Email
26,2024-03-01 12:30:00,215.0,High,3.81,Chat
27,2024-03-01 13:00:00,259.0,Low,11.81,Phone
28,2024-03-01 13:30:00,226.0,High,9.86,Phone
29,2024-03-01 14:00:00,228.0,High,6.32,Chat
30,2024-03-01 14:30:00,230.0,Low,13.09,Phone
31,2024-03-01 15:00:00,234.0,Medium,20.74,Email
32,2024-03-01 15:30:00,233.0,High,2.61,Email
33,2024-03-01 16:00:00,230.0,Medium,15.19,Unknown
34,2024-03-01 16:30:00,259.0,Medium,18.63,Phone
35,2024-03-01 17:00:00,248.0,Low,12.44,Chat
36,2024-03-01 17:30:00,247.0,High,14.38,Chat
37,2024-03-01 18:00:00,242.0,Low,7.68,Email
38,2024-03-01 18:30:00,237.0,High,3.26,Unknown
39,2024-03-01 19:00:00,220.0,Medium,20.73,Chat
40,2024-03-01 19:30:00,259.0,High,4.94,Chat
41,2024-03-01 20:00:00,227.0,Low,14.75,Email
42,2024-03-01 20:30:00,212.0,High,25.24,Email
43,2024-03-01 21:00:00,250.0,Low,20.47,Chat
44,2024-03-01 21:30:00,209.0,High,11.36,Chat
45,2024-03-01 22:00:00,251.0,Medium,11.41,Unknown
46,2024-03-01 22:30:00,236.0,High,20.79,Chat
47,2024-03-01 23:00:00,206.0,Low,23.38,Chat
48,2024-03-01 23:30:00,202.0,Low,3.97,Chat
49,2024-03-02 00:00:00,226.0,High,2.41,Email
50,2024-03-02 00:30:00,202.0,High,12.42,Chat
51,2024-03-02 01:00:00,208.0,High,14.75,Chat
52,2024-03-02 01:30:00,230.0,Medium,10.03,Email
53,2024-03-02 02:00:00,258.0,High,10.33,Email
54,2024-03-02 02:30:00,227.0,Low,6.9,Email
55,2024-03-02 03:00:00,248.0,High,11.55,Email
56,2024-03-02 03:30:00,,Low,2.12,Chat
57,2024-03-02 04:00:00,249.0,High,14.14,Chat
58,2024-03-02 04:30:00,237.0,Medium,18.63,Chat
59,2024-03-02 05:00:00,226.0,High,14.36,Chat
60,2024-03-02 05:30:00,230.0,Medium,3.95,Email
61,2024-03-02 06:00:00,215.0,Low,6.8,Phone
62,2024-03-02 06:30:00,229.0,High,11.81,Email
63,2024-03-02 07:00:00,222.0,Medium,8.86,Email
64,2024-03-02 07:30:00,214.0,Low,11.7,Email
65,2024-03-02 08:00:00,259.0,Medium,12.58,Phone
66,2024-03-02 08:30:00,200.0,Low,3.95,Chat
67,2024-03-02 09:00:00,205.0,High,13.59,Phone
68,2024-03-02 09:30:00,211.0,High,40.44,Email
69,2024-03-02 10:00:00,258.0,Medium,7.11,Chat
70,2024-03-02 10:30:00,241.0,Medium,5.2,Chat
71,2024-03-02 11:00:00,252.0,High,12.2,Phone
72,2024-03-02 11:30:00,212.0,High,10.94,Phone
73,2024-03-02 12:00:00,243.0,High,19.12,Chat
74,2024-03-02 12:30:00,222.0,Low,15.33,Chat
75,2024-03-02 13:00:00,229.0,Medium,19.41,Email
76,2024-03-02 13:30:00,200.0,Low,7.07,Chat
77,2024-03-02 14:00:00,237.0,High,18.78,Chat
78,2024-03-02 14:30:00,249.0,Medium,16.19,Email
79,2024-03-02 15:00:00,239.0,High,22.38,Chat
80,2024-03-02 15:30:00,209.0,High,24.31,Email
81,2024-03-02 16:00:00,232.0,High,4.76,Phone
82,2024-03-02 16:30:00,216.0,Low,4.14,Email
83,2024-03-02 17:00:00,257.0,High,6.46,Chat
84,2024-03-02 17:30:00,252.0,High,24.7,Unknown
85,2024-03-02 18:00:00,211.0,Medium,12.44,Chat
86,2024-03-02 18:30:00,230.0,High,2.57,Phone
87,2024-03-02 19:00:00,256.0,High,8.4,Phone
88,2024-03-02 19:30:00,250.0,High,2.24,Phone
89,2024-03-02 20:00:00,242.0,Medium,35.19,Phone
90,2024-03-02 20:30:00,238.0,Medium,14.85,Phone
91,2024-03-02 21:00:00,202.0,Medium,3.38,Chat
92,2024-03-02 21:30:00,244.0,Low,13.28,Phone
93,2024-03-02 22:00:00,,Low,46.01,Phone
94,2024-03-02 22:30:00,205.0,Low,13.67,Phone
95,2024-03-02 23:00:00,214.0,High,2.78,Email
96,2024-03-02 23:30:00,232.0,Medium,7.37,Email
97,2024-03-03 00:00:00,243.0,Low,16.4,Chat
98,2024-03-03 00:30:00,230.0,High,30.44,Phone
99,2024-03-03 01:00:00,236.0,High,17.23,Chat
100,2024-03-03 01:30:00,252.0,Low,15.58,Chat
101,2024-03-03 02:00:00,241.0,Medium,3.8,Email
102,2024-03-03 02:30:00,221.0,High,16.53,Chat
103,2024-03-03 03:00:00,,Medium,27.77,Unknown
104,2024-03-03 03:30:00,235.0,High,4.87,Chat
105,2024-03-03 04:00:00,206.0,High,4.82,Email
106,2024-03-03 04:30:00,203.0,Low,4.67,Chat
107,2024-03-03 05:00:00,239.0,Low,13.32,Chat
108,2024-03-03 05:30:00,223.0,Low,8.92,Chat
109,2024-03-03 06:00:00,235.0,High,30.86,Email
110,2024-03-03 06:30:00,219.0,High,24.9,Phone
111,2024-03-03 07:00:00,213.0,Low,16.18,Email
112,2024-03-03 07:30:00,209.0,High,12.87,Phone
113,2024-03-03 08:00:00,222.0,Low,2.35,Email
114,2024-03-03 08:30:00,248.0,Medium,8.24,Phone
115,2024-03-03 09:00:00,224.0,High,10.07,Email
116,2024-03-03 09:30:00,222.0,High,29.11,Email
117,2024-03-03 10:00:00,234.0,Medium,10.35,Chat
118,2024-03-03 10:30:00,258.0,Low,22.02,Email
119,2024-03-03 11:00:00,223.0,Low,13.97,Email
120,2024-03-03 11:30:00,235.0,Medium,16.12,Phone
121,2024-03-03 12:00:00,226.0,High,7.23,Phone
122,2024-03-03 12:30:00,236.0,Low,2.54,Email
123,2024-03-03 13:00:00,226.0,High,18.21,Email
124,2024-03-03 13:30:00,238.0,High,21.43,Unknown
125,2024-03-03 14:00:00,232.0,Low,1.42,Chat
126,2024-03-03 14:30:00,240.0,Low,6.7,Phone
127,2024-03-03 15:00:00,257.0,Low,9.4,Chat
